OrderID,CurrentClinicName1,CurrentClinicName2,CurrentClinicCity,CurrentClinicState,MedicalDirector,ND_NumIntentRet1,ND_NumIntentRet2,ND_NumIntentRet3,ND_NumIntentRet4,ND_IntentRetLB1,ND_IntentRetLB2,ND_IntentRetLB3,ND_IntentRetLB4,ND_IntentRetSingleLB1,ND_IntentRetSingleLB2,ND_IntentRetSingleLB3,ND_IntentRetSingleLB4,ND_NumRetrieve1,ND_NumRetrieve2,ND_NumRetrieve3,ND_NumRetrieve4,ND_RetrieveLB1,ND_RetrieveLB2,ND_RetrieveLB3,ND_RetrieveLB4,ND_RetrieveSingleLB1,ND_RetrieveSingleLB2,ND_RetrieveSingleLB3,ND_RetrieveSingleLB4,ND_NumTrans1,ND_NumTrans2,ND_NumTrans3,ND_NumTrans4,ND_TransLB1,ND_TransLB2,ND_TransLB3,ND_TransLB4,ND_TransSingleLB1,ND_TransSingleLB2,ND_TransSingleLB3,ND_TransSingleLB4,ND_IntentRetPerLB1,ND_IntentRetPerLB2,ND_IntentRetPerLB3,ND_IntentRetPerLB4,NewND_1IntentRetLB1,NewND_1IntentRetLB2,NewND_1IntentRetLB3,NewND_1IntentRetLB4,NewND_2IntentRetLB1,NewND_2IntentRetLB2,NewND_2IntentRetLB3,NewND_2IntentRetLB4,NewND_AllIntentRetLB1,NewND_AllIntentRetLB2,NewND_AllIntentRetLB3,NewND_AllIntentRetLB4,NewND_IntentRetPerNew1,NewND_IntentRetPerNew2,NewND_IntentRetPerNew3,NewND_IntentRetPerNew4,NewND_TransPerIntentRet1,NewND_TransPerIntentRet2,NewND_TransPerIntentRet3,NewND_TransPerIntentRet4,Donor_NumTrans1,Donor_NumTrans2,Donor_NumTrans3,Donor_NumTrans4,Donor_TransLB1,Donor_TransLB2,Donor_TransLB3,Donor_TransLB4,Donor_TranSingleLB1,Donor_TranSingleLB2,Donor_TranSingleLB3,Donor_TranSingleLB4,TotNumCycles1,TotNumCycles2,TotNumCycles3,TotNumCycles4,TotNumCyclesAll,CycleCancel1,CycleCancel2,CycleCancel3,CycleCancel4,CycleCancelAll,CycleStop1,CycleStop2,CycleStop3,CycleStop4,CycleStopAll,CycleFertPres1,CycleFertPres2,CycleFertPres3,CycleFertPres4,CycleFertPresAll,TransCarrier1,TransCarrier2,TransCarrier3,TransCarrier4,TransCarrierAll,TransFrozEmb1,TransFrozEmb2,TransFrozEmb3,TransFrozEmb4,TransFrozEmbAll,TransICSI1,TransICSI2,TransICSI3,TransICSI4,TransICSIAll,TransPGT1,TransPGT2,TransPGT3,TransPGT4,TransPGTAll,ReasonMale,ReasonEndo,ReasonTubal,ReasonOvul,ReasonUterine,ReasonPGT,ReasonCarrier,ReasonDOR,ReasonBank,ReasonPregLoss,ReasonOtherInfert,ReasonNonInfert,ReasonUnexplained,DonorEggService,DonatedEmbryoService,EmbryoCryoService,EggCryoService,GestCarrierService,SARTmember,LabAccred,NumResearch,CurrentStateAbbrev,gcode,point,lat,lon
409,THE HEARD INSTITUTE,,SUGARLAND,TEXAS,"Michael J. Heard, MD",0,*,*,0,,0 / *,0 / *,,,0 / *,0 / *,,0,0,*,0,,,0 / *,,,,0 / *,,0,0,*,0,,,0 / *,,,,0 / *,,,,,,,0 / *,0 / *,,,0 / *,0 / *,,,0 / *,0 / *,,,1,1,,,0,1,,0,0,*,0,,,* / *,,,,* / *,,*,*,*,0,5,,,,,,0 / *,0 / *,* / *,,* / 5,0 / *,0 / *,0 / *,,0 / 5,0 / *,0 / *,* / *,,* / *,* / *,* / *,* / *,,* / *,* / *,* / *,* / *,,* / *,0 / *,0 / *,* / *,,* / *,0 / 5,0 / 5,0 / 5,* / 5,* / 5,0 / 5,* / 5,* / 5,0 / 5,0 / 5,* / 5,0 / 5,* / 5,Yes,Yes,Yes,Yes,Yes,No,No,0,TX,"Alvin Sugarland Road, Missouri City, Fort Bend County, Texas, 77459, United States","(29.548954, -95.5506773, 0.0)",29.548954,-95.5506773
410,SCOTT & WHITE CLINIC-TEMPLE,,TEMPLE,TEXAS,"Gordon W Bates, MD",125,60,19,22,0.264,10.00%,* / 19,0.00%,0.208,5.00%,* / 19,0.00%,92,43,12,19,35.90%,14.00%,* / 12,0 / 19,28.30%,7.00%,* / 12,0 / 19,94,39,9,14,35.10%,15.40%,* / 9,0 / 14,27.70%,7.70%,* / 9,0 / 14,3.8,10,4.8,,24.70%,9.30%,* / 14,0 / 12,30.10%,11.60%,* / 14,0 / 12,32.30%,11.60%,* / 14,0 / 12,1.2,1.2,1.2,1.5,0.8,0.6,0.4,0.7,*,0,0,0,0 / *,,,,0 / *,,,,122,56,32,23,233,10.00%,11.40%,18.20%,* / 17,13.00%,4.40%,15.40%,10.70%,* / 19,8.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0 / 13,0.00%,38.60%,43.60%,45.50%,13-Jun,41.10%,0.96,97.40%,100.00%,13-Nov,96.00%,0.01,12.80%,4.50%,* / 13,4.60%,28%,8%,20%,0.15,3%,3%,0%,0,8%,3%,20%,0%,24%,No,No,Yes,No,No,No,No,0,TX,"Temple, Bell County, Texas, 76504, United States","(31.098207, -97.3427847, 0.0)",31.098207,-97.3427847
411,HART FERTILITY CLINIC,,THE WOODLANDS,TEXAS,"Dorothy J. Roach, MD",12,*,13,*,12-Sep,* / *,* / 13,* / *,12-Jul,* / *,* / 13,* / *,12,*,13,*,12-Sep,* / *,* / 13,* / *,12-Jul,* / *,* / 13,* / *,12,*,13,*,12-Sep,* / *,* / 13,* / *,12-Jul,* / *,* / 13,* / *,1.3,1.5,13,2,9-Sep,* / *,0 / 7,0 / *,9-Sep,* / *,0 / 7,* / *,9-Sep,* / *,0 / 7,* / *,1,1,1,2,1,1,1.1,1,0,0,*,0,,,0 / *,,,,0 / *,,42,24,20,21,107,0.00%,* / 18,0 / 8,* / 13,6.80%,9.50%,0.00%,0.00%,19-May,8.70%,4.80%,12.50%,30.00%,0.00%,10.30%,8.30%,0 / 11,0 / 12,0 / 7,3.70%,91.70%,11-Jun,12-Dec,7-Jun,85.20%,0.917,11-Oct,12-May,7-Jun,79.60%,0.417,11-May,* / 12,7-May,44.40%,21%,6%,16%,0.38,3%,5%,0%,0.16,38%,9%,7%,0%,14%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,TX,"The Woodlands, Montgomery County, Texas, United States","(30.1734194, -95.504686, 0.0)",30.1734194,-95.504686
412,CENTER OF REPRODUCTIVE MEDICINE (CORM),,WEBSTER,TEXAS,"Vicki L. Schnell, MD",174,92,58,34,0.649,45.70%,36.20%,5.90%,0.644,45.70%,36.20%,5.90%,171,86,52,29,66.10%,48.80%,40.40%,6.90%,65.50%,48.80%,40.40%,6.90%,194,75,44,5,58.20%,56.00%,47.70%,* / 5,57.70%,56.00%,47.70%,* / 5,1.5,2.2,2.8,17,66.90%,50.70%,41.50%,* / 19,70.30%,59.70%,46.30%,* / 19,70.90%,59.70%,46.30%,* / 19,1.1,1.1,1.2,1.3,1.1,0.9,0.7,0.1,*,0,31,*,* / *,,45.20%,0 / *,* / *,,41.90%,0 / *,513,260,192,140,1105,6.60%,8.90%,15.00%,14.10%,9.80%,13.30%,17.30%,13.60%,25.00%,15.70%,3.10%,3.10%,1.60%,3.60%,2.90%,1.50%,3.20%,3.30%,8.50%,2.80%,85.40%,88.00%,90.00%,85.10%,86.80%,0.967,93.60%,88.90%,63.80%,91.80%,0.518,61.60%,73.30%,57.40%,58.20%,20%,10%,7%,0.22,9%,2%,<1%,0.26,36%,7%,3%,1%,7%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,TX,"Webster, Harris County, Texas, United States","(29.5351724, -95.1161564, 0.0)",29.5351724,-95.1161564
413,UTAH FERTILITY CENTER,,PLEASANT GROVE,UTAH,"Shawn E. Gurtcheff, MD",459,146,125,79,0.693,44.50%,32.80%,5.10%,0.588,33.60%,29.60%,2.50%,453,138,116,66,70.20%,47.10%,35.30%,6.10%,59.60%,35.50%,31.90%,3.00%,544,146,76,27,58.50%,44.50%,53.90%,14.80%,49.60%,33.60%,48.70%,7.40%,1.4,2.2,3,19.8,72.10%,45.80%,35.10%,6.90%,74.50%,55.40%,39.20%,6.90%,75.10%,56.60%,40.50%,10.30%,1.1,1.2,1.2,1.6,1.2,1.1,0.6,0.3,*,*,214,38,* / *,* / *,56.10%,50.00%,* / *,* / *,51.90%,44.70%,1408,469,346,380,2603,1.70%,7.70%,7.60%,12.50%,5.00%,24.70%,13.10%,9.90%,15.10%,19.30%,1.50%,3.20%,5.20%,2.40%,2.40%,5.60%,10.10%,13.90%,30.60%,10.80%,81.80%,81.60%,85.00%,92.50%,83.60%,0.717,72.30%,69.90%,67.70%,71.10%,0.354,46.80%,59.00%,65.60%,44.40%,22%,8%,9%,0.16,3%,24%,4%,0.17,33%,3%,54%,6%,6%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,UT,"Pleasant Grove, Utah County, Utah, 84062, United States","(40.3641184, -111.73854, 0.0)",40.3641184,-111.73854
414,CONCEPTIONS FERTILITY CENTER,,PROVO,UTAH,"Andrew K Moore, MD",0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,*,0,,,0 / *,,,,0 / *,,36,11,7,8,62,0.00%,0 / 6,0 / 5,0 / 6,0.00%,5.60%,* / 11,0 / 7,* / 8,9.70%,0.00%,0 / 11,0 / 7,0 / 8,0.00%,0.00%,0 / 8,0 / *,0 / *,0.00%,62.50%,8-May,* / *,* / *,61.50%,0.792,8-Jul,* / *,* / *,82.10%,0.375,* / 8,* / *,* / *,43.60%,24%,6%,16%,0.29,3%,15%,0%,0.16,34%,21%,15%,0%,2%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,UT,"Provo, Utah County, Utah, United States","(40.2338438, -111.6585337, 0.0)",40.2338438,-111.6585337
415,UTAH CENTER FOR REPRODUCTIVE MEDICINE,,SALT LAKE CITY,UTAH,"Erica B. Johnstone, MD",123,58,38,26,0.626,37.90%,26.30%,3.80%,0.618,36.20%,21.10%,3.80%,117,56,37,19,65.80%,39.30%,27.00%,* / 19,65.00%,37.50%,21.60%,* / 19,127,55,26,14,60.60%,40.00%,38.50%,* / 14,59.80%,38.20%,30.80%,* / 14,1.6,2.6,3.8,26,62.20%,41.20%,25.00%,* / 10,70.00%,47.10%,25.00%,* / 10,70.00%,47.10%,25.00%,* / 10,1.1,1.1,1.1,1.2,1.1,1,0.7,0.5,16,0,43,*,16-Oct,,37.20%,* / *,16-Sep,,30.20%,* / *,335,167,105,103,710,1.80%,4.20%,10.90%,12.80%,5.40%,18.10%,13.40%,17.30%,13.40%,16.20%,6.00%,2.40%,3.80%,0.00%,3.90%,1.00%,2.90%,5.30%,6.60%,2.80%,75.60%,81.60%,64.90%,85.20%,77.00%,0.512,53.40%,42.10%,45.90%,49.80%,0.139,25.20%,12.30%,27.90%,18.40%,26%,7%,7%,0.12,3%,9%,2%,0.14,22%,2%,18%,2%,21%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,UT,"Salt Lake City, Salt Lake County, Utah, United States","(40.7596198, -111.8867975, 0.0)",40.7596198,-111.8867975
416,REPRODUCTIVE CARE CENTER,,SANDY,UTAH,"Keith L. Blauer, MD",194,63,64,39,0.536,39.70%,31.30%,12.80%,0.485,38.10%,26.60%,10.30%,188,61,61,35,55.30%,41.00%,32.80%,14.30%,50.00%,39.30%,27.90%,11.40%,256,64,51,20,40.60%,39.10%,39.20%,25.00%,36.70%,37.50%,33.30%,20.00%,1.9,2.5,3.2,7.8,55.60%,43.30%,28.60%,* / 19,60.70%,60.00%,38.10%,* / 19,60.70%,60.00%,47.60%,* / 19,1.1,1.3,1.5,1.4,1.4,1.1,0.9,0.4,*,15,27,11,* / *,15-Sep,48.10%,11-Aug,* / *,15-Aug,48.10%,11-Jun,445,125,121,77,768,4.30%,3.80%,7.30%,7.40%,5.00%,8.90%,10.60%,8.50%,9.30%,9.20%,0.70%,4.80%,4.10%,2.60%,2.10%,1.40%,1.30%,1.30%,8.00%,2.00%,76.00%,80.00%,77.90%,72.00%,76.60%,0.583,42.50%,50.60%,36.00%,52.30%,0.17,26.30%,45.50%,40.00%,25.30%,32%,15%,13%,0.33,4%,5%,1%,0.18,26%,5%,10%,5%,2%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,UT,"Sandy, Salt Lake County, Utah, United States","(40.5664878, -111.838904, 0.0)",40.5664878,-111.838904
417,UNIVERSITY OF VERMONT MEDICAL CENTER,VERMONT CENTER FOR REPRODUCTIVE MEDICINE,BURLINGTON,VERMONT,"Elizabeth McGee, MD",33,13,13,7,0.515,13-Jun,* / 13,* / 7,0.455,13-May,* / 13,* / 7,33,11,10,7,51.50%,11-Jun,* / 10,* / 7,45.50%,11-May,* / 10,* / 7,40,16,11,6,42.50%,16-Jun,* / 11,* / 6,37.50%,16-May,* / 11,* / 6,1.9,2.2,3.3,3.5,44.40%,* / 10,* / 8,* / *,51.90%,10-May,* / 8,* / *,51.90%,10-May,* / 8,* / *,1.1,1.1,1.3,1,1.2,1.3,0.9,0.8,0,*,*,0,,0 / *,0 / *,,,0 / *,0 / *,,59,40,16,13,128,2.80%,15.40%,* / 11,0 / 9,7.30%,3.40%,5.60%,* / 15,* / 13,5.70%,8.50%,12.50%,* / 16,* / 13,10.20%,0.00%,0.00%,0 / 12,0 / 10,0.00%,51.10%,44.80%,* / 12,10-May,46.90%,0.617,55.20%,12-Jul,10-May,58.20%,0.149,3.40%,0 / 12,0 / 10,8.20%,28%,5%,12%,0.07,0%,9%,0%,0.23,14%,0%,10%,0%,16%,Yes,No,Yes,Yes,No,Yes,Yes,0,VT,"Burlington, Chittenden County, Vermont, United States","(44.4761601, -73.212906, 0.0)",44.4761601,-73.212906
418,NORTHEASTERN REPRODUCTIVE MEDICINE,,COLCHESTER,VERMONT,"Peter R. Casson, MD",84,52,45,48,0.583,42.30%,22.20%,12.50%,0.5,32.70%,22.20%,12.50%,78,43,40,35,62.80%,51.20%,25.00%,17.10%,53.80%,39.50%,25.00%,17.10%,97,52,47,22,50.50%,42.30%,21.30%,27.30%,43.30%,32.70%,21.30%,27.30%,1.7,2.4,4.5,8,56.40%,45.50%,* / 16,* / 14,65.50%,63.60%,16-May,* / 14,65.50%,68.20%,16-Jun,* / 14,1.2,1.5,1.5,2,1.1,0.9,1.3,0.3,5,*,19,9,* / 5,0 / *,19-Dec,9-May,* / 5,0 / *,19-Dec,9-May,163,106,114,86,469,6.30%,19.60%,22.60%,26.70%,17.40%,9.50%,8.40%,7.00%,12.20%,9.10%,1.80%,4.70%,0.90%,5.80%,3.00%,4.60%,1.50%,4.20%,11.40%,4.80%,71.30%,66.70%,63.90%,68.20%,67.90%,0.861,75.80%,80.60%,75.00%,80.70%,0.148,19.70%,12.50%,20.50%,16.20%,17%,7%,5%,0.16,3%,11%,1%,0.33,23%,5%,24%,10%,8%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,VT,"Colchester, Chittenden County, Vermont, United States","(44.5360015, -73.2058402, 0.0)",44.5360015,-73.2058402
419,WASHINGTON FERTILITY CENTER,,ANNANDALE,VIRGINIA,"Pierre Asmar, MD",6,12,9,12,6-Jun,12-Aug,* / 9,0 / 12,6-Jun,12-Aug,* / 9,0 / 12,6,11,9,9,6-Jun,11-Aug,* / 9,0 / 9,6-Jun,11-Aug,* / 9,0 / 9,8,10,6,*,8-Jun,10-Aug,* / 6,0 / *,8-Jun,10-Aug,* / 6,0 / *,1,1.5,9,,6-Jun,9-Jul,0 / 7,0 / 8,6-Jun,9-Jul,* / 7,0 / 8,6-Jun,9-Jul,* / 7,0 / 8,1,1,1.1,1.1,1.3,0.8,0.8,0.2,6,5,13,0,* / 6,* / 5,13-May,,* / 6,* / 5,13-May,,28,23,26,36,113,0 / 15,* / 14,* / 15,* / 18,12.90%,14.30%,4.50%,9.10%,24.20%,14.30%,0.00%,8.70%,0.00%,2.80%,2.70%,0 / 13,* / 10,* / 12,0.00%,3.60%,13-Nov,10-Sep,12-Nov,55.00%,76.40%,* / 13,* / 10,* / 12,80.00%,50.90%,13-Sep,10-Sep,12-Jul,20.00%,52.70%,17%,4%,18%,0.1,0%,9%,1%,0.3,38%,6%,20%,5%,6%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,VA,"Annandale, Fairfax County, Virginia, United States","(38.838491000000005, -77.20852375508332, 0.0)",38.838491,-77.20852376
420,DOMINION FERTILITY AND ENDOCRINOLOGY,,ARLINGTON,VIRGINIA,"Michael DiMattina, MD",170,164,245,447,0.259,19.50%,11.00%,2.20%,0.241,18.90%,11.00%,2.20%,137,131,190,293,32.10%,24.40%,14.20%,3.40%,29.90%,23.70%,14.20%,3.40%,103,91,74,65,42.70%,35.20%,36.50%,15.40%,39.80%,34.10%,36.50%,15.40%,3.9,5.1,9.1,44.7,26.50%,21.50%,11.00%,3.10%,33.70%,26.20%,18.30%,3.90%,36.10%,32.30%,19.50%,3.90%,1.5,1.6,1.9,2,0.6,0.5,0.3,0.1,0,0,96,*,,,49.00%,0 / *,,,46.90%,0 / *,327,252,293,571,1443,15.00%,11.80%,21.30%,32.10%,23.30%,15.50%,17.40%,22.80%,38.20%,25.50%,5.50%,4.80%,3.10%,1.80%,3.40%,0.00%,0.90%,0.90%,4.80%,1.90%,89.20%,89.60%,82.40%,79.00%,84.70%,0.928,92.20%,88.00%,77.80%,87.00%,0.813,80.00%,65.70%,67.70%,73.50%,27%,4%,14%,0.1,6%,<1%,<1%,0.36,41%,3%,57%,37%,2%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,VA,"Arlington, Arlington County, Virginia, 22209, United States","(38.8903961, -77.0841585, 0.0)",38.8903961,-77.0841585
421,VIRGINIA FERTILITY AND IVF,,CHARLOTTESVILLE,VIRGINIA,"Christopher D. Williams, MD",101,67,43,16,0.683,47.80%,23.30%,* / 16,0.624,43.30%,23.30%,* / 16,91,58,30,14,75.80%,55.20%,33.30%,* / 14,69.20%,50.00%,33.30%,* / 14,92,46,16,*,75.00%,69.60%,16-Oct,* / *,68.50%,63.00%,16-Oct,* / *,1.5,2.1,4.3,16,76.70%,54.80%,25.00%,* / 7,79.50%,67.70%,30.00%,* / 7,83.60%,71.00%,45.00%,* / 7,1.2,1.4,1.8,1.6,1,0.7,0.4,0.1,*,8,13,10,* / *,8-May,13-Sep,10-Sep,* / *,8-May,13-Sep,10-Jul,241,145,97,48,531,6.80%,6.80%,9.60%,13.00%,7.90%,5.60%,7.90%,9.80%,8.90%,7.30%,4.60%,12.40%,14.40%,2.10%,8.30%,4.10%,0.00%,9.30%,3.60%,3.80%,92.70%,91.40%,93.00%,67.90%,89.80%,0.691,62.90%,60.50%,53.60%,64.40%,0.374,61.40%,65.10%,32.10%,47.70%,52%,17%,16%,0.13,9%,2%,1%,0.23,45%,7%,19%,16%,6%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,VA,"Charlottesville, Virginia, United States","(38.029306, -78.4766781, 0.0)",38.029306,-78.4766781
422,GENETICS & IVF INSTITUTE,,FAIRFAX,VIRGINIA,"Laurence C. Udoff, MD",27,28,16,26,0.519,35.70%,* / 16,3.80%,0.519,32.10%,* / 16,3.80%,27,28,15,26,51.90%,35.70%,* / 15,3.80%,51.90%,32.10%,* / 15,3.80%,26,25,9,8,53.80%,40.00%,* / 9,* / 8,53.80%,36.00%,* / 9,* / 8,1.9,2.8,4,26,55.00%,16-Jun,* / 11,* / 9,60.00%,16-Jul,* / 11,* / 9,60.00%,16-Jul,* / 11,* / 9,1.2,1.1,1.2,1.2,0.9,0.8,0.5,0.5,0,17,35,*,,17-Jun,40.00%,0 / *,,17-Jun,40.00%,0 / *,67,40,34,87,228,0.00%,0 / 15,0.00%,4.00%,1.00%,6.00%,10.00%,23.50%,16.30%,13.20%,7.50%,2.50%,5.90%,1.10%,3.90%,0.00%,0.00%,5.00%,1.50%,1.40%,93.80%,92.30%,50.00%,69.70%,76.40%,0.906,84.60%,75.00%,47.00%,67.40%,0.75,69.20%,40.00%,34.80%,50.70%,24%,6%,18%,0.04,21%,38%,<1%,0.25,29%,3%,46%,3%,1%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,VA,"Fairfax, Fairfax (city), Virginia, United States","(38.8462236, -77.3063733, 0.0)",38.8462236,-77.3063733
423,JONES INSTITUTE FOR REPRODUCTIVE MEDICINE,,NORFOLK,VIRGINIA,"Laurel A. Stadtmauer, MD, PhD",96,46,47,27,0.479,52.20%,25.50%,11.10%,0.365,37.00%,23.40%,11.10%,91,41,41,21,50.50%,58.50%,29.30%,14.30%,38.50%,41.50%,26.80%,14.30%,125,39,34,13,36.80%,61.50%,35.30%,* / 13,28.00%,43.60%,32.40%,* / 13,2.1,1.9,3.9,9,46.80%,51.60%,28.00%,* / 17,51.90%,54.80%,32.00%,* / 17,51.90%,58.10%,32.00%,* / 17,1.1,1.1,1.2,1.2,1.3,0.9,0.7,0.5,0,0,21,7,,,52.40%,* / 7,,,42.90%,* / 7,225,118,79,69,491,6.30%,13.30%,13.30%,18.20%,10.80%,6.90%,15.50%,9.60%,17.50%,10.80%,6.20%,5.10%,6.30%,1.40%,5.30%,1.40%,1.50%,0.00%,5.10%,1.70%,77.20%,86.40%,76.70%,89.70%,80.90%,0.952,92.40%,90.70%,48.70%,87.70%,0.331,28.80%,18.60%,20.50%,28.30%,26%,6%,22%,0.19,1%,1%,<1%,0.19,26%,1%,4%,0%,13%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,VA,"Norfolk, Virginia, United States","(36.8462923, -76.2929252, 0.0)",36.8462923,-76.2929252
424,VIRGINIA CENTER FOR REPRODUCTIVE MEDICINE,,RESTON,VIRGINIA,"Fady I. Sharara, MD",27,13,18,15,0.63,13-Jul,* / 18,* / 15,0.481,* / 13,* / 18,* / 15,27,13,17,15,63.00%,13-Jul,* / 17,* / 15,48.10%,* / 13,* / 17,* / 15,27,10,6,*,63.00%,10-Jul,* / 6,* / *,48.10%,* / 10,* / 6,* / *,1.6,1.9,9,7.5,18-Dec,* / 6,* / 9,* / *,14 / 18,* / 6,* / 9,* / *,14 / 18,* / 6,* / 9,* / *,1.1,1.2,1.4,1.5,1,0.9,0.4,0.7,*,0,19,5,* / *,,19-Oct,* / 5,* / *,,19-Sep,* / 5,27,32,47,49,155,0 / 18,0.00%,0.00%,3.80%,1.10%,11.10%,15.60%,19.10%,16.70%,16.20%,0.00%,9.40%,0.00%,2.00%,2.60%,* / 16,* / 14,20.00%,26.90%,17.10%,16-Sep,14-Nov,100.00%,84.60%,81.60%,16 / 16,13 / 14,85.00%,80.80%,88.20%,16-May,* / 14,90.00%,65.40%,57.90%,37%,1%,8%,0.1,20%,3%,5%,0.44,35%,1%,21%,1%,7%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,VA,"Reston, Fairfax County, Virginia, United States","(38.955696, -77.34188283719988, 0.0)",38.955696,-77.34188284
425,SHADY GROVE FERTILITY-RICHMOND,,RICHMOND,VIRGINIA,"Erika B. Johnston-MacAnanny, MD",120,71,62,34,0.658,50.70%,30.60%,17.60%,0.625,46.50%,25.80%,14.70%,119,67,60,29,66.40%,53.70%,31.70%,20.70%,63.00%,49.30%,26.70%,17.20%,133,82,45,16,59.40%,43.90%,42.20%,16-Jun,56.40%,40.20%,35.60%,16-May,1.5,2,3.3,5.7,70.30%,47.60%,22.60%,* / 17,79.10%,61.90%,35.50%,* / 17,79.10%,61.90%,38.70%,* / 17,1.2,1.2,1.5,1.4,1.2,1.2,0.7,0.4,0,11,16,*,,* / 11,16-Sep,* / *,,* / 11,16-Sep,* / *,285,181,115,90,671,7.20%,7.10%,16.90%,19.10%,10.60%,12.40%,6.90%,14.30%,16.00%,11.60%,2.80%,1.70%,3.50%,2.20%,2.50%,1.40%,1.00%,0.00%,7.90%,1.90%,92.10%,91.80%,85.40%,78.90%,89.50%,0.879,86.60%,87.50%,55.30%,83.60%,0.464,67.00%,70.80%,44.70%,56.00%,33%,5%,7%,0.14,6%,25%,1%,0.18,39%,5%,39%,1%,9%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,VA,"Richmond, Virginia, United States","(37.5385087, -77.43428, 0.0)",37.5385087,-77.43428
426,VCU REPRODUCTIVE MEDICINE,,RICHMOND,VIRGINIA,"Nicole K Banks, MD",87,52,54,26,0.46,32.70%,16.70%,7.70%,0.368,25.00%,14.80%,7.70%,82,48,38,16,48.80%,35.40%,23.70%,* / 16,39.00%,27.10%,21.10%,* / 16,130,66,56,13,30.80%,25.80%,16.10%,* / 13,24.60%,19.70%,14.30%,* / 13,2.2,3.1,6,13,49.20%,40.00%,19.00%,* / 13,58.70%,48.00%,23.80%,* / 13,60.30%,48.00%,23.80%,* / 13,1.3,1.4,1.5,1.3,1.5,1.4,1,0.5,*,*,8,*,0 / *,* / *,8-Jun,0 / *,0 / *,* / *,8-Jun,0 / *,187,121,117,81,506,3.70%,5.00%,26.00%,18.30%,12.50%,15.30%,24.60%,19.60%,27.10%,20.30%,7.50%,3.30%,7.70%,6.20%,6.30%,0.00%,0.00%,1.60%,2.60%,0.70%,51.60%,61.40%,49.20%,35.90%,51.40%,0.952,94.30%,95.10%,79.50%,92.90%,0.159,20.00%,21.30%,7.70%,16.90%,25%,6%,17%,0.15,3%,9%,0%,0.1,20%,6%,24%,4%,17%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,VA,"Richmond, Virginia, United States","(37.5385087, -77.43428, 0.0)",37.5385087,-77.43428
427,CARILION CLINIC REPRODUCTIVE MEDICINE AND FERTILITY,,ROANOKE,VIRGINIA,"Emily A. Evans-Hoeker, MD",14,7,5,6,14-Oct,* / 7,0 / 5,* / 6,14-Oct,* / 7,0 / 5,* / 6,14,6,*,*,14-Oct,* / 6,0 / *,* / *,14-Oct,* / 6,0 / *,* / *,18,8,*,*,18-Oct,* / 8,0 / *,* / *,18-Oct,* / 8,0 / *,* / *,1.4,3.5,,6,12-Sep,* / *,0 / *,0 / *,12-Oct,* / *,0 / *,0 / *,12-Oct,* / *,0 / *,0 / *,1.1,1.5,1.7,1.7,1.4,1,0.2,0,*,*,6,0,0 / *,0 / *,* / 6,,0 / *,0 / *,* / 6,,54,23,18,16,111,4.20%,* / 11,* / 12,* / 10,12.30%,7.50%,13.60%,* / 16,* / 13,11.50%,0.00%,0.00%,0 / 18,0 / 16,0.00%,2.90%,* / 11,0 / 6,* / 8,8.30%,82.90%,11-Oct,6-May,8-Jun,83.30%,0.714,11-Oct,6-Jun,* / 8,73.30%,0.057,* / 11,* / 6,* / 8,18.30%,26%,4%,7%,0,0%,1%,1%,0.07,32%,5%,1%,0%,54%,No,No,Yes,Yes,Yes,Yes,Yes,0,VA,"Roanoke, Virginia, United States","(37.270973, -79.9414313, 0.0)",37.270973,-79.9414313
